2023-10-03T06:12:57.668198Z [warning  ] No state was found, complete import.
2023-10-03T06:12:58.221639Z [info     ] 2023-10-02 23:12:58,217 | INFO     | tap-github           | Skipping deselected stream 'pull_requests'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.221816Z [info     ] 2023-10-02 23:12:58,217 | INFO     | tap-github           | Skipping deselected stream 'readme'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.222030Z [info     ] 2023-10-02 23:12:58,217 | INFO     | tap-github           | Skipping deselected stream 'readme_html'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.222218Z [info     ] 2023-10-02 23:12:58,217 | INFO     | tap-github           | Skipping deselected stream 'releases'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.222380Z [info     ] 2023-10-02 23:12:58,218 | INFO     | tap-github           | Beginning full_table sync of 'repositories'... cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.222542Z [info     ] 2023-10-02 23:12:58,218 | INFO     | tap-github           | Filtering repository list of 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.571902Z [info     ] 2023-10-02 23:12:58,571 | INFO     | tap-github           | Tap will run with 1 auth tokens cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.942404Z [info     ] 2023-10-02 23:12:58,941 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.364532, "tags": {"stream": "tempStream", "endpoint": "", "http_status_code": 200, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:59.011612Z [info     ] 2023-10-02 23:12:59,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "http_request_count", "value": 1, "tags": {"stream": "tempStream", "endpoint": "", "context": {}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:59.011919Z [info     ] 2023-10-02 23:12:59,011 | INFO     | tap-github           | Running the tap on 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:59.012574Z [info     ] 2023-10-02 23:12:59,012 | INFO     | tap-github           | Running the tap on 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
